성별,연령별,2021
전체,계,51769539
전체,0 - 4세,1618830
전체,5 - 9세,2231797
전체,10 - 14세,2297714
전체,15 - 19세,2345886
전체,20 - 24세,3278327
전체,25 - 29세,3675202
전체,30 - 34세,3306451
전체,35 - 39세,3683026
전체,40 - 44세,3944406
전체,45 - 49세,4213912
전체,50 - 54세,4425748
전체,55 - 59세,4113626
전체,60 - 64세,4064749
전체,65 - 69세,2894911
전체,70 - 74세,2090525
전체,75 - 79세,1567444
전체,80세이상,2016985
전체,80 - 84세,1157812
전체,85 - 89세,605532
전체,90 - 94세,203889
전체,95 - 99세,43381
전체,100세 이상,6371
남자,계,25870941
남자,0 - 4세,830797
남자,5 - 9세,1143757
남자,10 - 14세,1183139
남자,15 - 19세,1216428
남자,20 - 24세,1711404
남자,25 - 29세,1962374
남자,30 - 34세,1745107
남자,35 - 39세,1907424
남자,40 - 44세,2020470
남자,45 - 49세,2138197
남자,50 - 54세,2221205
남자,55 - 59세,2068337
남자,60 - 64세,1999375
남자,65 - 69세,1394231
남자,70 - 74세,975339
남자,75 - 79세,675869
남자,80세이상,677488
남자,80 - 84세,438090
남자,85 - 89세,184329
남자,90 - 94세,45872
남자,95 - 99세,8158
남자,100세 이상,1039
여자,계,25898598
여자,0 - 4세,788033
여자,5 - 9세,1088040
여자,10 - 14세,1114575
여자,15 - 19세,1129458
여자,20 - 24세,1566923
여자,25 - 29세,1712828
여자,30 - 34세,1561344
여자,35 - 39세,1775602
여자,40 - 44세,1923936
여자,45 - 49세,2075715
여자,50 - 54세,2204543
여자,55 - 59세,2045289
여자,60 - 64세,2065374
여자,65 - 69세,1500680
여자,70 - 74세,1115186
여자,75 - 79세,891575
여자,80세이상,1339497
여자,80 - 84세,719722
여자,85 - 89세,421203
여자,90 - 94세,158017
여자,95 - 99세,35223
여자,100세 이상,5332
