"특성별(1)",특성별(2),2019,2019,2019,2019,2019,2019,2019,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),응답자수 (명),실내 문턱 없음 (%),안전손잡이(욕실 화장실) (%),안전손잡이(욕실 화장실 이외) (%),미끄럼 방지 (%),휠체어 이동 공간 (%),실외 경사로 (%),응답자수 (명),실내 문턱 없음 (%),안전손잡이(욕실 화장실) (%),안전손잡이(욕실 화장실 이외) (%),미끄럼 방지 (%),휠체어 이동 공간 (현관) (%),휠체어 이동 공간 (실내) (%),긴급연락장치 (%),실외 경사로 (%)
"전체",소계,384416,29,14.4,31.8,46.7,54.4,52.9,643686,36,41.2,29,52.7,56.1,44.8,10.7,47.4
"성별",남성,106340,32.4,16.2,36.1,49.1,55.7,56.2,175488,41.3,42.3,27.7,52.3,59.2,46,10.2,51.7
"성별",여성,278076,27.7,13.5,30.2,45.8,53.9,51.6,468198,34.1,40.8,29.5,52.9,54.9,44.3,10.9,45.8
"연령별",65세 미만,12649,34.9,11.3,36.5,58.7,61.8,63.9,13336,42.3,49.9,32.8,42.5,59.1,46.8,12.3,57.4
"연령별",65~69세,20168,33.4,13.9,28.6,40.1,49.6,65.1,31572,42.1,41.8,29.5,52.6,55.3,44.5,14.9,58.8
"연령별",70~74세,33437,26.5,20.5,36.6,50.2,58,55.5,49352,38.8,41.8,27.7,46.1,55.7,47.1,12,50.8
"연령별",75~79세,69301,30.9,15.9,32.6,50.3,57,56.1,91821,37.5,41.3,26,48.6,57.5,43.2,6.5,51.5
"연령별",80~84세,100476,31.9,14.4,31.1,43.4,55.4,52.6,177877,37.1,40.6,28.7,52.9,56.6,45.4,10.9,47.2
"연령별",85~89세,90835,26.3,12.4,30.7,46.5,48.1,47.2,173526,33.3,41.9,31.8,57.2,54.6,44.9,12.8,44
"연령별",90세 이상,57549,24.3,12.3,31.1,46.3,57.6,50.2,106203,33.6,39.6,27.3,53.1,56.4,43.6,8.7,43.7
"지역별",대도시,143518,34.1,16.2,35,52.2,57.3,61.9,233358,42.7,44.7,33.1,57.2,57.1,44.8,11.1,54.2
"지역별",중소도시,116670,33.3,14,33.8,50,63.8,62.9,197376,38.8,38.5,26.8,52.2,62.7,50.8,10.5,60.8
"지역별",농어촌,124230,19,12.3,26.2,37.2,42.3,33,212952,26.1,39.9,26.5,48.3,48.9,39.2,10.5,27.6
"장기요양인정등급별",1등급,9603,42,13.8,25.3,25.9,63.3,59.9,17947,42.7,34.8,34.9,55,65.2,58.5,15.1,63.4
"장기요양인정등급별",2등급,26846,34.8,10.3,29.8,41.2,64,56.9,40299,31.6,48.1,34.2,54.5,64.8,51.3,10.2,54.1
"장기요양인정등급별",3등급,113467,31.9,16.4,36.5,51,56.5,58,161057,44.7,48.4,31.3,56.4,63.3,53,11,51
"장기요양인정등급별",4등급,193647,26.4,15,32.1,47.6,53.1,50.2,340596,33.3,39.8,29.1,52.1,52.3,41.3,10.5,44.7
"장기요양인정등급별",5등급,38908,26.5,8.2,20.9,40.1,47.6,47.7,79234,30.6,31.8,20.1,46.9,50.9,35.8,10.5,44.7
"장기요양인정등급별",인지지원등급,1945,18,0,0,15.4,25.6,35.9,4553,43,16.5,23.8,43.2,61.8,54.5,7.9,50.3
"급여유형별(재가급여)",방문요양,265842,29.3,15.7,34.9,48.4,54.8,53.9,436678,37.1,43.3,30.6,54.9,57,45.4,11,48.3
"급여유형별(재가급여)",방문목욕,43940,19.2,11.2,29.8,42,47.6,40.8,75609,25.3,40.3,27.1,43.9,47.3,35.8,9.4,31.3
"급여유형별(재가급여)",방문간호,7040,27.1,15.9,29.9,42.2,59.3,53.7,11046,34.1,42.9,31.2,54.2,62,50.8,13.3,50.9
"급여유형별(재가급여)",주야간보호,66367,34.3,10.6,21.2,43.9,57.1,56.6,119740,38.8,34,24,50.1,57.8,47.5,10.4,54.2
"급여유형별(재가급여)",단기보호,1229,28,10.9,17.1,37.3,48.2,59.1,613,42.3,34,32.1,60.9,55,47.1,19,49
"치매여부별",예,178779,31.6,12.7,31.2,46.8,52.3,51.9,307395,34.6,39.9,27.3,53.8,53.7,44,8.3,45.9
"치매여부별",아니오,205637,26.7,15.7,32.3,46.7,56.3,53.8,336291,37.3,42.4,30.5,51.7,58.3,45.5,12.9,48.9
