"특성별(1)",특성별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),응답자수 (명),없음 (%),배우자 (%),아들·며느리 (%),딸·사위 (%),손자녀·친인척 (%),도우미 (%),이웃·지인 (%),기타 (%),응답자수 (명),없음 (%),배우자 (%),아들·며느리 (%),딸·사위 (%),손자녀·친인척 (%),도우미 (%),이웃·지인 (%),기타 (%)
"전체",소계,158081,10,21,17.5,11.8,2.6,30.2,1.5,5.5,238512,3.6,27.1,22.8,21.6,3.6,19.3,1,1
"성별",남성,51270,8.5,44.5,9.1,4,3.1,24,2.4,4.4,79280,4.3,52.1,12.2,10.3,5.1,12.4,3,0.6
"성별",여성,106814,10.8,9.7,21.5,15.5,2.3,33.1,1,6.1,159232,3.3,14.7,28.1,27.2,2.8,22.8,0,1.2
"연령대별",65세 미만,8525,9.2,38,2.1,4.2,8.8,29.2,4.2,4.4,10937,4.6,27.3,13.7,9.6,26.7,8.7,4.7,4.6
"연령대별",65~69세,7497,11.9,47.8,4.7,7.1,2.4,21.4,2.4,2.4,10438,5.3,50.4,9.7,4.6,0,20.6,9.4,0
"연령대별",70~74세,13360,16,36,6.7,6.7,6.7,21.3,4,2.7,22815,2.5,44.4,11.4,8.7,9,24,0,0
"연령대별",75~79세,30132,9.5,24.1,16.9,7.7,3,33.3,1.2,4.5,40846,3.7,31.7,18.5,19.9,1.3,23.7,0,1.2
"연령대별",80~84세,42616,12.1,18.1,21.2,13.2,1.4,27,1,5.9,58899,5.5,33.4,22.9,18.3,3.7,14.7,0.7,0.9
"연령대별",85~89세,35302,8.3,14.7,20.7,12.7,1.6,34.7,0.7,6.6,58903,3.7,20.1,27.2,29.2,0.8,17.5,0.7,0.8
"연령대별",90세 이상,20646,5.2,6.9,23.4,21.4,0.9,33.6,0.9,7.8,35675,0,5.2,34.3,33.4,1.2,24.8,0,1.2
"지역별",대도시,61833,7.8,22.8,13.7,11.2,3.2,29,2.7,9.6,94275,2.9,23.6,27,20.2,3.3,22.4,0.6,0
"지역별",중소도시,50703,10.9,19.2,17.2,13.1,2.1,34.3,0.7,2.5,85337,3.3,27.5,18.4,26.7,4.2,17.6,1.6,0.6
"지역별",농어촌,45545,12.1,20.6,22.9,11,2.3,27.1,0.6,3.4,58900,5,32.2,22.4,16.4,3.2,16.8,0.7,3.2
"장기요양인정등급별",1등급,16432,3.2,15.3,7.6,3.2,6.7,55.3,2.2,6.5,17407,0,19.5,11.7,5.7,2.9,60.2,0,0
"장기요양인정등급별",2등급,19575,4.5,14.7,10.9,10.4,1.3,50.5,0.3,7.3,19822,0,12.2,13.6,26.1,2.4,43.5,0,2.2
"장기요양인정등급별",3등급,43355,8.2,23.2,14.2,12.6,0.9,35.1,0.6,5.2,65737,3.7,29.5,21.6,19.9,1.5,20.9,0.7,2.2
"장기요양인정등급별",4등급,51165,10.9,21.5,22.3,12.7,2.4,21.7,2.1,6.3,85848,3.7,32.6,21.5,21.2,6.1,13.7,0.6,0.6
"장기요양인정등급별",5등급,18115,19.2,21.6,31,10.8,2.9,9.4,2.1,2.9,31926,6.7,23.9,35.1,29.5,0,3.1,1.6,0
"장기요양인정등급별",인지지원등급,9437,18.9,30.2,11.3,22.6,5.7,7.5,1.9,1.9,17771,4.7,21.8,32.5,26.3,7.3,2.5,4.9,0
"치매여부별",예,89751,8.6,20,16.3,10.9,2,34.4,1.1,6.7,124121,1.7,22.4,24.5,24.6,2.3,23.1,0.4,1.1
"치매여부별",아니오,68330,11.8,22.3,19.1,12.9,3.4,24.6,1.9,4,114391,5.7,32.3,21,18.3,5,15.3,1.6,0.9
