"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),응답자수 (명),매우 만족 (%),만족 (%),보통 (%),불만족 (%),매우 불만족 (%)
"전체",소계,478556,4.2,20.8,49.7,17.4,7.8
"성별",남성,29360,6.6,28,45.5,14.2,5.7
"성별",여성,449196,4.1,20.3,50,17.7,7.9
"연령별",29세 이하,5136,8.4,29.2,47.1,10.4,4.9
"연령별",30~39세 이하,10286,10.7,26.8,36.7,18.9,6.8
"연령별",40~49세 이하,33947,9.4,27,40.6,16.2,6.9
"연령별",50~59세 이하,128150,3.7,21.6,46.8,17.8,10.1
"연령별",60~69세 이하,231031,3.5,19.5,52.6,17.1,7.3
"연령별",70세 이상,70005,3.9,19.2,52,18.7,6.1
"지역별",대도시,191446,3.3,16.9,51.5,19.9,8.3
"지역별",중소도시,177561,5.7,22,47.6,16.9,7.8
"지역별",농어촌,109549,3.5,25.7,50,13.9,6.9
"직종별",요양보호사,425581,3.9,19.7,50.7,17.6,8
"직종별",사회복지사,32107,7.6,32.2,39.3,15.1,5.7
"직종별",간호(조무)사,18015,5.7,25.1,45.7,17.7,5.8
"직종별",물리(작업)치료사,2853,5,25.6,42,20.3,7.1
"급여유형별",방문요양,321012,3.9,18.8,50.8,18.1,8.4
"급여유형별",방문목욕,16444,5.4,17,50.4,17.5,9.6
"급여유형별",방문간호,1384,7.7,30.7,35,15.4,11.2
"급여유형별",주야간보호,36167,6.4,28.8,43,16.3,5.5
"급여유형별",단기보호,279,3.5,21.3,54.3,18.2,2.7
"급여유형별",노인요양공동생활가정,8108,5.1,23.4,48.7,16.3,6.5
"급여유형별",노인요양시설(10~29명),29119,5.4,25.7,45.3,17.1,6.5
"급여유형별",노인요양시설(30~49명),21256,4,26,50.2,15.2,4.6
"급여유형별",노인요양시설(50명 이상),44787,3.8,23.6,49.8,15.4,7.5
"소속기관운영주체별",개인,368506,4.3,19.9,50.8,17.4,7.7
"소속기관운영주체별",영리법인,37259,5.3,24.3,48.1,11.8,10.5
"소속기관운영주체별",비영리법인,68212,3.9,23.4,44.1,21.4,7.2
"소속기관운영주체별",국가 또는 지방자치단체,4580,0.4,26.8,58,11.3,3.4
