"특성별(1)",특성별(2),2019,2019,2019,2022,2022,2022
"특성별(1)",특성별(2),응답자수 (명),이직 경험률 (%),평균 이직횟수 (회),응답자수 (명),이직 경험률 (%),평균 이직횟수 (회)
"전체",소계,300999,8,1.4,478556,11.4,1.3
"성별",남성,15806,4.9,1.2,29360,6.7,1.1
"성별",여성,285193,8.2,1.4,449196,11.7,1.3
"연령별",29세 이하,3161,5.1,1,5136,10.1,1
"연령별",30~39세 이하,6274,7.3,1.2,10286,14.5,1.1
"연령별",40~49세 이하,25948,6,1.1,33947,8.1,1.1
"연령별",50~59세 이하,118583,8.8,1.3,128150,10.8,1.3
"연령별",60~69세 이하,121660,8.3,1.5,231031,12,1.2
"연령별",70세 이상,25363,5.4,1.5,70005,11.6,1.6
"지역별",대도시,116362,6.7,1.3,191446,11.6,1.4
"지역별",중소도시,106601,9.2,1.3,177561,12.8,1.2
"지역별",농어촌,78036,8.3,1.6,109549,8.7,1.2
"직종별",요양보호사,274086,8.1,1.4,425581,11.3,1.3
"직종별",사회복지사,11992,6.4,1.3,32107,12.5,1.1
"직종별",간호(조무)사,12881,7.4,1.3,18015,12,1.1
"직종별",물리(작업)치료사,2039,6.1,1,2853,9.4,1.1
"급여유형별",방문요양,182472,8.7,1.4,321012,11.7,1.3
"급여유형별",방문목욕,15354,4.8,1.3,16444,6.4,1.5
"급여유형별",방문간호,697,5.6,1,1384,11.9,1
"급여유형별",주야간보호,19746,9.4,1.2,36167,12,1.1
"급여유형별",단기보호,458,1.7,1,279,14.4,1.2
"급여유형별",노인요양공동생활가정,7845,5.6,1.2,8108,11.7,1.2
"급여유형별",노인요양시설(10~29명),18556,8.2,1.2,29119,12.2,1.1
"급여유형별",노인요양시설(30~49명),14618,7.1,1.3,21256,13.1,1.1
"급여유형별",노인요양시설(50명 이상),41253,6,1.6,44787,8.6,1.2
"소속기관운영주체별",개인,213965,8.9,1.4,368506,12.2,1.3
"소속기관운영주체별",영리법인,28437,8,1.5,37259,9.8,1.3
"소속기관운영주체별",비영리법인,58501,4.8,1.2,68212,7.3,1.2
"소속기관운영주체별",국가 또는 지방자치단체,95,0,0,4580,15.1,1.2
