"특성별(1)",특성별(2),2019,2019,2019,2019,2019,2019,2019,2019,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),응답자수 (명),본인 (%),배우자 (%),자녀 및 손자녀 (%),형제자매 등 친인척 (%),이웃 또는 지인 (%),장기요양기관 직원 (%),기타 (%),응답자수 (명),본인 (%),배우자 (%),자녀 및 손자녀 (%),형제자매 등 친인척 (%),이웃 또는 지인 (%),장기요양기관 직원 (%),기타 (%)
"전체",소계,705547,8.6,11.7,68.8,2.7,3.2,2.3,2.6,942525,11,10.2,64.3,3.7,5,2.6,3.2
"성별",남성,192120,11.1,25.1,50.9,3.3,3.6,2.4,3.6,268436,13.7,22.7,48.7,4.3,5,3.3,2.3
"성별",여성,513427,7.7,6.7,75.5,2.5,3.1,2.3,2.3,674089,9.9,5.3,70.6,3.4,5,2.3,3.5
"연령별",65세 미만,26134,14.5,39.6,23.7,10.7,4.7,3.6,3.2,25596,19.9,27.3,18.3,22.4,4.9,2.3,5
"연령별",65~69세,33266,16.7,34.7,27.8,6.6,5.2,1.9,7.1,42544,22.4,32.9,26.7,5.6,6.7,2.2,3.5
"연령별",70~74세,56307,13.1,27.9,45.1,3.7,5.9,1.9,2.4,77373,16.9,18.6,42.4,5.6,10.2,3.3,3
"연령별",75~79세,119719,10.1,15.8,60.6,1.8,4.5,2.7,4.6,138222,13.6,20,49,2.9,5.9,4.7,3.9
"연령별",80~84세,185231,8.5,9.1,72.4,2.1,2.4,3.2,2.4,250238,11.3,9.1,67,3,3.9,3.1,2.5
"연령별",85~89세,167867,6.3,4.4,81.3,2,3.3,1.6,1.1,250136,7.5,3.5,78.1,2.2,4,1.7,3.1
"연령별",90세 이상,117026,4.8,1.9,86.5,2.4,1,1.6,1.7,158417,6.1,1.1,80.1,3.3,4.6,1.3,3.4
"지역별",대도시,249778,9.4,14,64.7,2.5,4.1,2.8,2.5,340670,11.1,11.8,61.8,3.7,5.7,3.4,2.4
"지역별",중소도시,223550,8.5,13.2,69.1,2.7,2.2,1.6,2.7,303064,11.4,11.2,62.7,4.2,4.9,2.2,3.5
"지역별",농어촌,232218,7.8,8,72.9,2.9,3.2,2.4,2.7,298791,10.3,7.4,68.9,3.2,4.3,2.2,3.8
"장기요양인정등급별",1등급,41272,3.4,20.6,62.8,4,2,3.2,4.1,38727,2.6,21.3,65.3,3,4.6,2.6,0.5
"장기요양인정등급별",2등급,81947,4.6,12.9,73.6,2.7,1.9,2.1,2.2,80865,5.8,10.1,69.5,5.2,4.9,1.6,2.9
"장기요양인정등급별",3등급,219574,7,14.2,69.9,2.5,2.6,1.6,2.1,255237,10.2,13.5,65,2.8,4.2,2.2,2
"장기요양인정등급별",4등급,291171,11.1,8.6,67.5,2.7,4.5,2.7,2.9,439104,12.6,8.4,63.1,3.8,5.3,3.1,3.9
"장기요양인정등급별",5등급,60049,8.3,9.7,70.8,3.1,2.4,2.9,2.7,107112,8.5,7.2,65.1,4.6,6.9,3.2,4.5
"장기요양인정등급별",인지지원등급,11535,24,15.2,56,0.9,0.9,0,3.1,21480,32.7,4.1,55.9,3.5,0.8,0,2.9
"급여유형별",방문요양,265842,8.5,14.6,64.1,2,4.8,3,3.1,413825,11.1,11.7,59.3,3.6,6.3,3.8,4.2
"급여유형별",방문목욕,43940,7.9,14.4,62.6,3,6.4,3.7,2,72647,9.4,10.3,62,3.5,6.8,3.6,4.4
"급여유형별",방문간호,7039,6.1,18.4,59.6,1.5,4.6,2,7.7,10655,9.2,16.2,59.4,2.4,5.3,4.1,3.3
"급여유형별",주야간보호,66367,5,8.9,78.2,3,2.5,1.2,1.2,105618,6.7,7.3,76.7,3,3.4,1.9,0.9
"급여유형별",단기보호,1228,1.5,12.9,84,1.5,0,0,0,384,6.4,5.2,83.5,1.7,1.5,1.7,0
"급여유형별",노인요양공동생활가정,15190,6.8,4.5,76.2,5.2,2.9,1.9,2.3,8014,3.7,5.1,76,8.2,3,1.9,2
"급여유형별",노인요양시설(10~29명),37222,5.5,5.4,76.3,4.9,2.7,1.6,3.5,27341,3.1,5.4,80.5,3.8,5.2,1.2,0.8
"급여유형별",노인요양시설(30~49명),29187,3.9,6.2,79.9,4.8,1.6,1.4,2.1,21936,7.3,2.6,74.7,5.4,6.2,2.2,1.6
"급여유형별",노인요양시설(50명 이상),80528,4.7,6.5,78.4,3.6,1,2.7,3.2,44133,6.3,4.8,78.5,4.3,2.8,1,2.3
"급여유형별",미이용,159003,14.5,13,65.2,2.3,1.5,1.5,2,237972,15.6,11,62.6,3.8,3.2,1.1,2.8
"치매여부별",예,403435,4.7,11.4,73.9,3,2.8,1.9,2.4,482821,6.3,9.5,72.1,3.8,4,1.8,2.5
"치매여부별",아니오,302114,13.9,12.2,61.9,2.4,3.8,2.9,2.9,459704,15.9,11,56.1,3.6,6.1,3.5,3.9
