"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),응답자수 (명),tv 신문 인터넷 (%),직계가족 (%),친인척 (%),이웃 지인 (%),장기요양기관직원 (%),기타 (%)
"전체",소계,942525,11.9,32.9,6.6,23.1,11.9,13.5
"성별",남성,268436,12.6,34,6.6,20.5,13.8,12.5
"성별",여성,674089,11.6,32.5,6.6,24.1,11.2,13.9
"연령별",65세 미만,25596,16.3,13.3,10.6,31.3,10.8,17.7
"연령별",65~69세,42544,11.9,28,6.6,27,12.1,14.5
"연령별",70~74세,77373,17.1,31.7,7.6,21.4,9,13.2
"연령별",75~79세,138222,9.8,28.2,8.6,25.2,12.1,16.2
"연령별",80~84세,250238,10.1,36.7,5.8,23.1,12.2,12.1
"연령별",85~89세,250136,12.5,37.3,5,20.3,11.7,13.2
"연령별",90세 이상,158417,12.5,29.4,7.4,24.1,13.2,13.3
"지역별",대도시,340670,14.7,29.7,7,23.3,12.6,12.8
"지역별",중소도시,303064,12.1,31.8,5.9,21.7,12.2,16.3
"지역별",농어촌,298791,8.7,37.8,6.8,24.3,10.8,11.6
"장기요양인정등급별",1등급,38727,14.6,27.5,6.4,20.9,11,19.5
"장기요양인정등급별",2등급,80865,11.5,32.4,7.9,24,11.8,12.3
"장기요양인정등급별",3등급,255237,13.7,30.7,7.3,21.9,12.4,14
"장기요양인정등급별",4등급,439104,11.2,33.9,5.9,23,12.9,13.2
"장기요양인정등급별",5등급,107112,10.2,35.8,6.8,25.2,8.9,13.1
"장기요양인정등급별",인지지원등급,21480,11.8,37.4,7.8,29,3,11
"급여유형별",방문요양,413825,10.1,33.1,5.5,23.2,14.9,13.2
"급여유형별",방문목욕,72647,7.6,37.2,5.9,23.8,13.8,11.8
"급여유형별",방문간호,10655,8.8,31.9,6.7,22.8,16.6,13.1
"급여유형별",주야간보호,105618,10.2,35.1,5.8,23,13,12.8
"급여유형별",단기보호,384,11.7,34.1,3.2,17.5,17.1,16.4
"급여유형별",노인요양공동생활가정,8014,11.7,24.7,9.3,25.5,13.1,15.7
"급여유형별",노인요양시설(10~29명),27341,12.3,26.5,8.3,31.3,11.1,10.6
"급여유형별",노인요양시설(30~49명),21936,14.4,27.4,10.2,21.5,14.2,12.3
"급여유형별",노인요양시설(50명 이상),44133,16.2,28.7,8.8,20.1,9.9,16.3
"급여유형별",미이용,237972,16.3,32.7,8,22.5,5.7,14.9
"치매여부별",예,482821,12.9,32,6.5,23.1,12.5,13
"치매여부별",아니오,459704,11,33.9,6.6,23.1,11.3,14.1
