"특성별(1)",특성별(2),2019,2019,2019,2019,2019,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),응답자수 (명),2시간 미만 (%),2~3시간 미만 (%),3~5시간 미만 (%),5시간 이상 (%),응답자수 (명),2시간 미만 (%),2~3시간 미만 (%),3~5시간 미만 (%),5시간 이상 (%)
"전체",소계,383360,12,9.6,57,21.4,640655,16.3,8,52.3,23.5
"성별",남성,106187,20.1,10.4,49.9,19.6,174087,24.2,10.2,43.6,22
"성별",여성,277172,8.9,9.3,59.7,22,466567,13.3,7.2,55.5,24
"연령별",65세 미만,12630,23.1,10.8,56.5,9.7,13309,21,7,45.1,27
"연령별",65~69세,20049,17.8,14.8,47.6,19.8,31565,17.8,8.8,56.8,16.6
"연령별",70~74세,33438,24.2,9.1,49.5,17.2,48832,21.8,9.7,52.7,15.8
"연령별",75~79세,69168,12.8,9.2,60.4,17.6,90968,21.2,9.7,45.5,23.5
"연령별",80~84세,100324,8.5,8.5,60.2,22.8,177345,12.9,7.1,54.6,25.4
"연령별",85~89세,90586,9.3,10,55.2,25.5,172832,13.6,8,53.4,25
"연령별",90세 이상,57166,10,9.8,57.9,22.3,105804,18.4,7.1,51.7,22.8
"지역별",대도시,142829,12.1,7,60.8,20.1,232061,18.1,6.2,54.8,20.9
"지역별",중소도시,116517,12,8.4,53.4,26.2,196057,16.6,8.4,45.9,29.1
"지역별",농어촌,124015,11.9,13.9,55.9,18.3,212537,14,9.5,55.4,21.1
"장기요양인정등급별",1등급,9565,13.1,10.1,61.5,15.3,17925,25.1,11.8,48.2,15
"장기요양인정등급별",2등급,26674,15.8,6.9,66.3,11,39773,17.3,12.8,52.8,17.2
"장기요양인정등급별",3등급,112927,14,7.6,60.2,18.1,160809,19,7.1,56,17.9
"장기요양인정등급별",4등급,193399,11.8,10.2,59.4,18.6,338660,16.4,7.4,54.2,21.9
"장기요양인정등급별",5등급,38851,5.1,14.9,30.4,49.6,78935,8.3,9.8,39.7,42.1
"장기요양인정등급별",인지지원등급,1945,0,0,7.8,92.2,4553,0,0,3.7,96.3
"급여유형별(재가급여)",방문요양,265842,11.8,10.8,73,4.4,435757,18.2,9.1,66.7,6
"급여유형별(재가급여)",방문목욕,43940,29.1,15.8,46.7,8.3,74979,27.9,12.3,50.5,9.3
"급여유형별(재가급여)",방문간호,7040,26.3,13.8,50.7,9.2,11004,26.7,17.9,46.5,8.9
"급여유형별(재가급여)",주야간보호,66366,0,0.3,0.6,99.1,118915,0.7,0.3,1.2,97.8
"치매여부별",예,178072,10.9,8.5,45.9,34.8,305281,16,9.1,41.6,33.3
"치매여부별",아니오,205288,13,10.7,66.6,9.7,335373,16.5,7,62,14.5
