"특성별(1)",특성별(2),2019,2019,2019,2019,2019,2019,2019,2019,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),응답자수 (명),다른 사람의 도움 꺼려함 (%),가족돌봄으로 충분 (%),타인의 도움 필요없음 (%),본인부담금에 대한 경제적 부담 (%),병원 입원 (%),병원 선호 (%),기타 (%),응답자수 (명),다른 사람의 도움 꺼려함 (%),가족돌봄으로 충분 (%),타인의 도움 필요없음 (%),본인부담금에 대한 경제적 부담 (%),장기요양 불신(불만족) (%),병원 입원 (%),병원 선호 (%),서비스 필요없음 (%),기타 (%)
"전체",소계,159003,23.4,12.2,5.8,7.3,30.1,10,11.1,238512,30,16.1,9.6,8.9,4.3,20.9,2.9,3.6,3.6
"성별",남성,51803,27.2,11.4,4.8,8.8,28.6,7.1,12,79280,30.3,18.4,11,11.4,3.7,17,1.8,2.3,4
"성별",여성,107201,21.6,12.6,6.3,6.5,30.9,11.5,10.7,159232,29.8,15,8.9,7.7,4.6,22.8,3.4,4.2,3.5
"연령대별",65세 미만,8703,16.4,10.2,0,14.7,39.9,4.5,14.3,10937,22.4,4.8,9.1,9.1,14,31.5,0,4.4,4.7
"연령대별",65~69세,7871,29.6,6.8,2.3,4.5,33.9,6.8,16.1,10438,20.3,15.1,9.4,19.7,5,25.4,0,0,5.1
"연령대별",70~74세,13540,28.9,9.3,7.9,7.3,29.4,6.6,10.5,22815,24.8,17.8,19.7,2.2,4.7,26.2,0,4.7,0
"연령대별",75~79세,30134,20.7,13.6,6.5,8.3,28.7,9.2,13.1,40846,22.3,14.6,12.3,9.6,2.1,26.3,4.9,5.2,2.7
"연령대별",80~84세,42794,24.4,13.2,7.9,7.1,27.2,10.4,9.8,58899,32.8,16.4,7,11.6,5.8,12.9,2.8,4.3,6.4
"연령대별",85~89세,35303,23.3,12.1,5.5,6.1,31.9,12.1,9,58903,38.9,15.6,6.9,6.1,4.8,18.9,2.4,4,2.4
"연령대별",90세 이상,20659,22.4,12.9,3.4,6,30.3,12.9,12.1,35675,28,21.1,9.1,9.4,0,23.3,5.2,0,3.8
"지역별",대도시,62190,23.3,11.2,3.4,6.9,31.1,12.2,11.9,94275,30.3,12.5,10.4,8.6,5.6,23.3,3.8,3.8,1.6
"지역별",중소도시,50913,23.4,11.7,4.9,7.8,31.2,10.3,10.7,85337,34,18.7,7.1,6.9,3.6,18.9,2.4,1.9,6.7
"지역별",농어촌,45901,23.4,14.1,10.1,7.2,27.7,6.9,10.7,58900,23.8,18.2,12,12.3,3.2,20,2.3,5.7,2.5
"장기요양인정등급별",1등급,16433,7.6,9.2,0,3.2,47.2,19.7,13,17407,5.5,2.5,5.9,0,5.5,71.7,5.8,0,3
"장기요양인정등급별",2등급,19753,19.8,8.5,0.9,2.7,45.6,17.7,4.8,19822,18.6,20.9,2.2,4.8,0,41.2,7.3,2.7,2.4
"장기요양인정등급별",3등급,43355,22.7,9.5,2.1,7.2,36.3,10.6,11.7,65737,30.8,17.7,7.6,6.8,2.3,26.6,3.7,2.2,2.2
"장기요양인정등급별",4등급,51897,25.5,13.6,7.9,11,24.4,6.9,10.7,85848,32.9,15.5,10.1,12.6,6.7,13.6,2.4,3.7,2.4
"장기요양인정등급별",5등급,18130,32,16.8,12.8,7.9,13.3,5.9,11.4,31926,41.4,20.9,9.7,4.8,3.6,0,0,7.9,11.8
"장기요양인정등급별",인지지원등급,9438,34,20.8,18.9,1.9,3.8,0,20.8,17771,29.1,12.6,26.4,19.6,4.8,0,0,5.1,2.3
"치매여부별",예,89943,23.5,10.6,4,6,33.5,13,9.5,124121,29.6,13.8,9.4,8,4.5,23.7,4.4,2.4,4.2
"치매여부별",아니오,69060,23.3,14.3,8.3,8.8,25.8,6.2,13.3,114391,30.5,18.7,9.9,9.8,4,17.8,1.3,4.9,3
