"특성별(1)",특성별(2),2019,2019,2019,2019,2019,2019,2019
"특성별(1)",특성별(2),응답자수 (명),TV 신문 인터넷 (%),직계 가족 (%),친인척 (%),이웃·지인 (%),장기요양기관직원 (%),기타 (%)
"전체",소계,165073,4.7,51.1,3.5,15.6,15.3,9.8
"성별",남성,44254,7.4,44.4,2.6,20.9,16.4,8.3
"성별",여성,120820,3.7,53.6,3.8,13.7,14.9,10.3
"연령별",65세 미만,6083,14.6,30.2,3.1,28,11.8,12.3
"연령별",65~69세,9524,5.2,34.9,4.7,16.9,20.8,17.6
"연령별",70~74세,14403,2.3,34,1.4,32.2,19,11.1
"연령별",75~79세,32985,6.6,49,3.3,14.8,13.6,12.8
"연령별",80~84세,48114,3,60,4.3,9.3,15.3,8.2
"연령별",85~89세,36412,4.3,53.1,2.4,18.2,14.2,7.7
"연령별",90세 이상,17553,4.6,56.7,5.4,10.7,16,6.4
"지역별",대도시,52434,4.8,41.6,3.2,19.2,17.7,13.5
"지역별",중소도시,46184,6.8,49.4,4.2,13.2,16.5,9.9
"지역별",농어촌,66452,3.1,59.8,3.3,14.5,12.6,6.7
"장기요양인정등급별",1등급,1609,38.2,18.1,25.5,0,18.1,0
"장기요양인정등급별",2등급,6045,9,46.5,11.4,14.7,8.4,10
"장기요양인정등급별",3등급,41812,3.7,50.9,3.1,12.8,18.7,10.8
"장기요양인정등급별",4등급,97805,4.4,50.6,2.7,17.9,14.8,9.6
"장기요양인정등급별",5등급,16905,3.9,58.3,4.4,11.5,12.4,9.4
"장기요양인정등급별",인지지원등급,897,0,77.7,0,11.1,11.1,0
"급여유형별(재가급여)",방문요양,121159,4.7,47.9,3.6,16.8,16.2,10.8
"급여유형별(재가급여)",방문목욕,18025,4.3,54.8,4.8,13,14.9,8.2
"급여유형별(재가급여)",방문간호,2521,5.7,50,5.7,11.4,14.3,12.9
"급여유형별(재가급여)",주야간보호,23100,4.3,65.1,2.2,12.1,10.9,5.4
"급여유형별(재가급여)",단기보호,267,21.3,50.2,0,14.2,7.1,7.1
"치매여부별",예,53499,4.5,56.3,3.5,16.6,12.7,6.5
"치매여부별",아니오,111572,4.8,48.7,3.5,15.2,16.6,11.3
