"특성별(1)",특성별(2),2019,2019,2019,2019,2019,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),응답자수 (명),9일 이하 (%),10~19일 (%),20~24일 (%),25일 이상 (%),응답자수 (명),9일 이하 (%),10~19일 (%),20~24일 (%),25일 이상 (%)
"전체",소계,384416,15.7,7.1,49.5,27.7,640655,23.8,6,53.8,16.5
"성별",남성,106340,17.9,6.8,45.5,29.8,174087,23.1,5.5,49.7,21.7
"성별",여성,278077,14.9,7.2,51,26.9,466567,24,6.2,55.3,14.5
"연령별",65세 미만,12649,13.9,5.8,56.8,23.5,13309,21,11.8,46,21.2
"연령별",65~69세,20168,17.6,7.9,42.6,31.9,31565,22.8,4.9,61.1,11.2
"연령별",70~74세,33437,13.9,5.7,49.2,31.2,48832,23.4,6.5,54.9,15.2
"연령별",75~79세,69302,18.6,5.2,51.2,25.1,90968,25.2,2.3,50.1,22.4
"연령별",80~84세,100476,14,8.7,51.1,26.2,177345,25.5,6.6,51.6,16.3
"연령별",85~89세,90836,16.2,6.3,48.2,29.3,172832,23.8,5.8,56.2,14.2
"연령별",90세 이상,57549,15.2,8.5,47.8,28.5,105804,20.5,7.7,54.9,16.9
"지역별",대도시,143518,11.9,6.8,52.6,28.7,232061,23.9,6,53.7,16.3
"지역별",중소도시,116670,18.4,7.8,45.8,28,196057,24.8,4.8,53.5,17
"지역별",농어촌,124229,17.6,6.6,49.4,26.4,212537,22.7,7,54.1,16.2
"장기요양인정등급별",1등급,9602,10.6,7.3,42.9,39.1,17925,15.6,4.9,50.7,28.8
"장기요양인정등급별",2등급,26847,17.9,6.5,44.2,31.4,39773,23.1,3.9,49.2,23.8
"장기요양인정등급별",3등급,113467,14.9,5.6,49.2,30.2,160809,24.8,3.9,52.3,19
"장기요양인정등급별",4등급,193647,16.1,8.1,51,24.8,338660,22.5,7.2,56.1,14.2
"장기요양인정등급별",5등급,38907,16.1,5.3,48.2,30.4,78935,29.5,3.4,51.7,15.4
"장기요양인정등급별",인지지원등급,1945,15.4,30.7,41,12.9,4553,23.8,53.3,19.4,3.5
"급여유형별(재가급여)",방문요양,265842,12.4,7.2,57.1,23.3,435757,20.6,6.3,59.2,13.9
"급여유형별(재가급여)",방문목욕,43939,37.6,7,31,24.5,74979,39.2,4.5,38.8,17.5
"급여유형별(재가급여)",방문간호,7039,26.8,10.2,26.6,36.3,11004,32.7,5,34,28.3
"급여유형별(재가급여)",주야간보호,66367,13.7,6.2,34.5,45.6,118915,25.1,5.7,45.1,24.1
"급여유형별(재가급여)",단기보호,1228,0,7.7,0,92.3,-,-,-,-,-
"치매여부별",예,178780,13.3,7.2,45.1,34.4,305281,24.1,5.4,50.2,20.2
"치매여부별",아니오,205637,17.8,7,53.3,21.9,335373,23.5,6.5,57,13.1
