_id,title,name,date,contents
66276d2eecdb6f44922202c3,오늘의 일기,고갤러,2024.04.23 15:46:06,고딩~슴초반까지 패션미용에 전념했음\n그러다 군대다녀오고 일상에치여 패션미용 포기하고 일만하며 살았어\n머리는 그냥 동네미용실가서 커트만하고 옷은 작업복 돌려입고..\n\n\n그러다 최근 몇개월내내 계속 기분 안좋고 텐션이 죽어버려서\n어제 근 10년만에 기분전환겸 탈색염색을 했다\n\n셀프탈색 5번하고 웜코랄이란 연주황빛으로 염색했어\n탈색염색만으로도 기분전환되고 좋더라\n\n그리고 10년동안 피부관리도 안해서 해주려고\n진짜 피부좋고 하얗다 얘기 많이듣고 살았는데 아재같은 피부 푸석푸석에 다죽었더라..\n\n또 10년동안 스트레스받으며 일만해서 피곤했는지\n점도 많이생겨서 오늘 점 8군데 빼고왔어\n당장은 보기 좀 흉하네.. 점캐워서 꺼멓게 파인게.. 한달만 감안해야지\n\n오늘 30만짜리 패샨 안경도 샀어\n시력은 좋은편이라 안경안쓰는데 패션으로ㅇㅇ\n\n내가 잘생겼으면 몰라\n못생긴터라 안경쓰니 인물이 좀 가려져서 좀 나아진거같아\n\n\n점 뺀거 한달정도 아물면 \n그때는 로션 앰플 같은거사서 이제 피부 관리해줘야지 \n\n 내 직장은 문신 머리 염색 이런거에 자유로운 곳이라 다행이야\n\n\n근데 10년만에 꾸미고나니 하 역시 차은우처럼 잘생기게 태어났으면 얼마나 좋을까 싶기도하다\n순간 뽐뿌와서 코성형이나 받아볼까 햇는데 후.. 참아야지\n한 400만원이나 태워야되고.. 뭐 인생얼마나 대단하겟다고 얼굴에 칼대려고 하나 자제되넹\n\n\n\n\n\n\n- dc official App
66276d31ecdb6f44922202c4,내얼굴 못생긴거 어디가 문제냐,ㅇㅇ,2024.04.23 15:24:41,후면기카찍어보고 못셍겨서 충격받음\n\n전면 후면거울 인생네컷 다 갠찬은대 후면만 좃같이생김\n- dc official App
66276d33ecdb6f44922202c5,인생은 왤케 불공평함?,ㅇㅇ,2024.04.23 15:23:01,누군 태어나보니 존잘 키 180인데 난 왜 태어나보니 165에 존못임? 누군 태어나보니 외향적이고 사교성 좋은데 난 왜 ㅈㄴ 소심하고 ㅈ찐따임? 누군 태어나보니 금수저라 한달 용돈 500만원씩 받던데 난 왜 오늘 저녁 먹는 것도 최대한 아낄 생각마 하면서 김에 밥싸서 먹어야 되는 거임?\n- dc official App
66276d36ecdb6f44922202c6,그냥 기분이 복잡함,부자나라치킨공주,2024.04.23 13:29:54,"얼굴이 뭐 잘생긴것도 아니고 그렇다고 머리가 좋은것도 아님 공부라도 못하면 기술이라도 배워야하는데\n엄마가 고졸임 ㅇㅇ 특성화고 졸업인데 그게 콤플렉스라서 나랑 상의도 안해보고 일반고 집어넣음\n뺑뺑이라서 통학시간 30분 버스 2번 타는 곳 감(자전거로 갈수도 없음)\n이거 쓰는 지금 시험 치고 왔는데 진짜...내가 이렇게 개빡통이구나를 느꼈음 미래를 생각해서 이과를 선택했는데 문과보다 공부 못하고 그나마 있던 과학도 흥미도 잃어버림\n그나마 하고 싶은거 찾았는데 그거 친구한테 말했다가 ""그런거 하고 살면 돈 못 범 ㅇㅇ""하고 엄마한테 그 말 했다가는 구박 받을게 확실함.\n가뜩히나 나랑 친했던 애들은 다 특성화로 빠져서 친구도 별로 없음 엄마가 원망스럽더라 그럴때마다\n\n- dc official App"
66276d3becdb6f44922202c7,결정 좀ㅎㅎ,고갤러,2024.04.23 11:22:15,딱히 오늘따라 더 우울하다거나 그런것도 아니고\n아무 생각도 안들고 아무 감정도 안들어요\n우연히 카톡 보니까 연락할 사람도 가족도 없고\n광고만 나열되어있고 밑으로 내려가면 보이는 예전에 연락했던\n사람들의 프로필 사진이 행복해 보여선지 그냥 가슴이 조금\n답답한거 빼면 별 느낌이 없고 눈물도 안나는데 그냥\n이럴거면 딱히 내가 살 필요가 있나 싶네요\n\n댓글이 하라는대로 할테니 하라고 하면\n이왕 하는겸 안아프게 ㅈ는 방법 추천 좀 헤헤
66276d41ecdb6f44922202c8,여자 나이 30이면 뭘 해야 살아남을 수 있냐,고갤러,2024.04.23 09:41:31,"계약직으로 사무직 다니고 있긴한데\n\n예체능 학점은행 전문학사\n일본어 2급\n경리 3년\n경력이 이것밖에 없다...\n뭐 어릴때부터 계속 서비스업 다니고\n일본에서 2년 정도 생활 경험 있긴한데\n어릴때는 그냥 계속 일만 하고 살아서 딱히 자격증\n생각 못했다..\n안그래도 능지 박살난것같은데\n뭘 해야 취업 되냐,,, 추천좀 줘라..."
66276d43ecdb6f44922202c9,빚이 1억5천인데 어찌갚아야할지 막막하다..,고갤러,2024.04.23 00:57:56,본업 투잡으로 월 300만씩 상환한다해도\n\n50개월걸리네 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ\n\n월300씩 할수있을지 없을지도 모르겠고\n\n파산신청할까.. 괜히 사업한다고 깝쳤다가 빚만 어흑
66276d46ecdb6f44922202ca,모든 갈등은 술에서나옴,고갤러,2024.04.23 00:46:18,술친구는 결국 싸움남\n- dc official App
66276d49ecdb6f44922202cb,이야기 들어줌,고갤러,2024.04.23 00:25:42,자기 전에 잠깐 고민 들어줌.\n아무 주제나 화제 안 가림.
66276d4becdb6f44922202cc,고민이 잇음,ㅇㅇ,2024.04.22 22:17:22,"난 좀 마른편\n여친은 육덕? 살짝 더 위 그정도 ㅇㅇ\n만나는데 난 허루에 1,2끼 이상 안먹는 편이고 그중에서 아침 점심으로 주로 먹는편 근데 여친은\n점심 저녁을 많이 먹는편임 그래서 일 끝나고 저녁에 만나면 먹는거 맞춰주느라 너무 힘듦 근데 자기 배고프다고 넌 배 안고프냐 했을때 안고프다니까 계속 배고파하길래 한달넘게 그냥 같이 먹아주는데 이거 뭐라 말해야되냐"
